PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17,PC_18,PC_19,PC_20,PC_21,PC_22,PC_23,PC_24,PC_25,PC_26,PC_27,PC_28,PC_29,PC_30,PC_31,PC_32,PC_33,PC_34,PC_35,PC_36,PC_37,PC_38,PC_39,PC_40,PC_41,PC_42,PC_43,PC_44,PC_45,PC_46,PC_47,PC_48,PC_49,PC_50,IID,Population,SEX
-4.047021,2.9541695,8.07674,-13.902358,5.7244515,32.18256,-1.350481,-2.313631,-3.2613103,-1.4054948,-0.41407245,0.19894177,0.35463202,-1.7857037,-0.71426326,0.6564599,0.19115436,0.5235192,0.48788044,0.045941062,0.2641182,-1.5284469,0.10499207,0.05479615,0.19047351,0.29172808,0.14721432,-1.2221621,-0.14702754,-0.99506706,-1.0372826,-1.5115056,-0.43969142,0.6589478,-0.3071476,-1.3036543,-0.73587,-0.20375149,1.5473303,0.014582513,-0.83382165,-0.075407185,-1.0872785,0.30322036,-0.17569388,-1.0026869,0.65590566,1.2652124,-0.17856039,-0.13127427,NA18144,CHD,2
-3.4025664,4.2787642,6.672431,-12.585523,5.185775,30.652168,-0.714432,-2.151798,-2.9136045,-1.099791,0.77903616,-0.4524199,0.1582335,-0.5116107,1.9127018,0.62121063,-0.15075131,1.7987587,0.044259474,-0.09413952,1.0865124,-0.57358485,-0.31181297,-0.5974063,0.6779231,0.55612606,-0.7826208,0.042410403,0.8304991,-2.2111475,2.554313,1.1563758,0.76430476,0.045204587,0.90760607,0.2817754,-1.4803822,0.37602708,0.044194475,-0.7390107,1.9050659,-1.9693294,-1.3988054,-1.4107277,-0.64057434,-1.0484678,-0.803576,0.4237623,-1.9353307,-0.23899594,NA18150,CHD,2
-3.9884627,2.837039,6.925086,-13.5471,5.8782454,31.557066,-2.5316255,-3.4360676,-2.614391,-1.4898517,0.04552202,-1.1790286,-1.5870136,0.33800822,0.68573904,-1.4795095,1.089767,-1.3031452,-0.45554295,-2.00149,1.7123502,-0.09673072,0.7562829,0.96131593,0.21905035,-0.7433525,0.50291675,0.29147285,-0.40046245,1.7464352,-0.0042558936,0.620913,0.113953665,-0.41636845,-0.9533185,1.3295013,-1.2591928,0.8950769,-1.4777412,-0.47375077,-0.9180142,0.8295021,1.1189401,-0.49421605,-1.1818892,0.64238936,-0.24758324,-0.59442633,-0.170271,0.72833043,NA18154,CHD,2
-4.231188,2.720333,7.1413636,-12.373463,5.682707,30.434969,-2.2254379,-2.460394,-1.7034726,-0.9476035,-0.04282785,-0.059396036,0.8651302,0.63550097,-0.7091877,0.8645887,-1.8868289,0.73592556,-0.30627805,0.6508905,-0.1363879,-0.7882381,0.024026254,-1.275063,1.566121,-2.0731115,0.24646388,-0.74263597,-1.1629492,1.9994823,-2.3243732,1.7261301,0.43898287,-1.3519514,-1.1587957,0.2770745,-0.8059747,-1.2054381,-1.5929853,0.6977837,-0.21147463,-1.2873685,-1.937223,-1.203886,-0.21093436,0.060603064,0.029868023,0.33322227,-0.49344102,1.6801885,NA18162,CHD,2
-3.9583309,3.383377,6.84287,-13.049076,6.1777925,31.45703,-1.3610666,-2.6962712,-3.5119164,-1.7846571,1.8171831,0.33790252,-0.18702714,0.32250178,-0.8135284,0.83592683,-0.16780761,0.8698317,-0.6562031,1.396533,-0.1417874,-0.11865945,2.3004968,0.2663176,-0.007517246,2.781402,0.45711428,2.2976396,1.6595939,-1.0812137,1.1124269,0.36932996,-1.198943,1.1504471,-0.38370878,-2.484151,0.6586415,-1.4034884,0.17684208,0.36581278,1.2175283,2.5006082,-0.65430737,-0.15339458,-2.221029,1.1560023,-2.1429965,1.6316053,0.2177419,0.010934897,NA17974,CHD,1
-3.6178234,3.4620607,7.434232,-14.049157,6.0880575,31.065392,-2.395338,-2.8806944,-3.2026973,-1.1837645,0.044404477,0.15834609,-0.4011768,0.8281294,-0.70996606,0.6315853,-0.16932194,-0.70817965,0.6121039,0.18259339,-0.39636797,-1.1598755,2.5314672,0.8344478,0.34962624,1.6485202,1.5424446,0.21378939,0.3192547,-1.7811986,1.6009133,1.0700165,-2.020663,-0.87296,0.95299083,1.8975166,-0.77645874,1.2922174,0.14313944,1.4585044,-0.87050945,-1.7704538,-0.37562168,-0.69262385,0.22899093,0.88754755,-1.2878867,1.9665282,-1.1414474,1.0130695,NA17975,CHD,1
-2.696259,2.8235373,6.466784,-12.010012,4.9266124,30.268,-1.5125029,-2.5982616,-2.1125484,-1.3749897,0.53888476,-0.31983975,-0.38776195,-0.683319,1.6340699,1.0977769,0.92668283,1.1385009,-0.4577719,1.2809668,0.031283326,-1.6557026,1.2679029,-0.4024671,-0.996903,0.7521987,-0.8392149,0.5915848,0.23596509,-0.41926765,0.41784766,1.21769,-0.14465998,-0.3524779,1.1906873,-0.038167465,-0.46689317,-0.30676848,-0.12110764,-0.79450613,1.5153425,-3.3282866,-1.036728,-2.180846,-2.287442,-0.4979558,0.45914018,-0.30560735,-2.0037613,-1.7313224,NA17980,CHD,1
-4.4284415,3.5189838,7.19177,-13.967729,6.076054,29.910938,-1.4827126,-4.3066587,-3.4116275,-1.4819888,0.31167892,1.0502493,0.2662242,0.6487616,0.19780211,0.8522909,-0.45938635,0.5377289,-0.35441434,-0.80932814,-0.43707007,-1.843622,-1.0672438,0.6013166,1.271185,-2.274748,1.1773363,-1.7471174,-2.9827993,0.61263305,-2.6798317,0.7205408,5.030482,1.1108594,5.066415,-2.376744,0.17033802,-0.16731858,2.6960828,2.2982059,2.4098363,-0.38485426,-0.8345242,-3.4388475,3.5376923,1.5872924,3.1525621,2.4346876,-1.2937273,-4.358253,NA17986,CHD,1
-2.8742394,3.6209524,7.1756525,-12.574287,5.828065,29.822699,-1.013707,-2.1576345,-3.2436981,-1.7652812,0.43913952,1.373469,-0.2085546,-1.5332199,0.9660103,-1.7879444,0.29021415,-0.49014714,-0.1924263,0.19247462,-0.54660946,-0.08418704,0.005990671,-0.54575,-0.072875656,0.65169406,0.64881665,-1.8545686,0.97588766,1.5928328,-1.9060935,-1.5972047,-2.7647161,-1.074629,-1.7018644,1.2484803,1.9380848,-0.7073224,1.5305778,-0.10003558,1.6255589,-0.009574802,-1.9447803,1.1072559,1.9116783,0.25425106,0.75131786,-3.4906788,0.3937105,-0.4387568,NA17989,CHD,1
-3.3561513,4.470753,7.049813,-12.48182,5.5097394,30.486712,-1.08607,-2.4783673,-2.5897257,-1.8157306,0.5950828,0.029760497,-1.2650614,-0.5111047,-1.048274,1.8486553,0.4413272,0.5111597,-0.8015315,-0.51948756,1.4352429,1.5793327,0.79957867,0.5639548,-0.74223155,-0.5710989,0.17434444,0.92843723,-1.5945584,-1.0275238,0.576767,-1.2664407,0.20009848,-0.80922073,-0.07583805,0.35682747,0.31719357,-0.80928236,0.58878165,-1.8296479,-1.3805823,-0.15899165,0.6562063,-0.3197823,-3.062403,-1.5870556,-1.1071882,-0.85307664,1.715605,-0.22157206,NA17997,CHD,1
-3.474996,4.140194,7.018308,-14.03365,5.8368607,31.191721,-1.346155,-2.3306265,-3.4423661,-1.0660819,0.61402756,0.39582542,0.7245287,0.3057651,-0.5605587,-1.1893263,-0.3315124,1.7559912,-0.21495274,1.2802011,0.117195174,0.40125185,-0.9630584,-0.4580235,0.90323627,-0.47921237,-1.4206668,-0.5176405,0.16884859,1.5278045,-2.03237,1.1213586,-1.208993,-0.5287294,0.8247982,-0.104854226,-0.6980369,-0.93322235,-0.45257303,-0.27348515,1.314697,-0.47234407,-2.177623,1.7514594,-0.81962496,-0.8699439,0.7706701,1.6019711,0.6714378,1.1066059,NA18106,CHD,1
-2.8465495,4.062778,6.6492906,-12.916215,6.3937745,28.263557,-1.011767,-2.3424733,-2.2312152,-1.7739545,-1.0310296,0.25697544,-0.23687497,-0.47993276,1.2338657,-1.208834,-0.31923652,-1.4515512,-1.412432,-0.0761924,0.89155173,-0.43604326,-0.44174144,-1.9065112,0.23056889,-0.33004454,-1.9219204,-0.16516212,0.19331875,2.0779753,-0.8991989,-0.7167558,-0.96396744,-0.12093651,0.88116604,1.1367067,0.5634875,0.9745342,-0.018169494,-1.0425634,0.098914854,0.3319206,-1.7027967,-0.30537653,1.5240467,0.9526503,-1.0713925,0.045392532,0.29527664,0.11218699,NA18114,CHD,1
-4.1190124,3.829274,7.942483,-14.274864,5.934761,30.611263,-2.1485562,-2.207877,-2.364216,-3.4329884,1.2348204,0.1975226,0.56638205,0.17853704,-0.61462396,-0.4147464,-0.45787644,0.14968714,0.1671802,-0.45104966,1.2683927,1.9737469,-0.16162191,-0.6493936,-0.22583719,-0.8322011,1.4830555,1.4183232,0.35607994,-0.48692256,0.28368813,-0.20573963,-0.9449214,-1.1883395,-0.2783008,1.2388576,-1.3203589,1.9527143,1.5240412,-0.4924966,1.725739,-0.48902193,-0.4764241,-0.17248659,-2.4270535,-2.7147233,0.33856395,1.1109117,1.1075917,1.7990416,NA18122,CHD,1
-3.6435122,2.929206,7.842672,-12.790186,5.6823554,28.55259,-1.1284765,-2.7710826,-2.3670647,-1.0411903,0.20276248,0.1676519,1.7230494,0.89284676,0.04855473,0.97023547,0.9827927,0.046001334,-1.0664452,1.3820199,-1.1146456,0.7478831,-0.50936615,-1.4190176,0.20634426,-0.32324633,0.56407183,0.3023552,-0.72355056,-0.9090289,-0.43507242,-1.71324,0.8528881,0.59998626,-1.8543776,0.6151201,4.3140097,0.38480335,-1.0140116,-1.1481293,0.62971616,-1.4086939,-0.5438135,0.42986578,0.5592018,1.2410495,-2.581949,-2.1083107,2.7315335,4.7109203,NA18138,CHD,1
-4.3102474,3.7264585,7.4695024,-13.24612,5.7835526,32.13264,-0.8798507,-2.7019053,-3.2539752,-2.0776658,0.6320608,0.4136468,-0.59550905,0.015585184,-0.010042641,-0.20254973,-0.4087486,1.5452639,0.59450763,0.94719887,0.84895784,-1.7735769,0.8003707,0.868472,-0.68490267,-0.41906846,-1.0322672,0.2781429,-0.09427678,-1.536706,0.43561903,0.19026585,-1.3362868,1.3706772,-1.7854108,-0.59068525,1.2493547,-0.08356602,0.064275645,-1.723639,1.1238279,-0.33163995,0.6395745,2.1729834,-0.3770072,-0.06511139,0.59404445,-0.72299576,-0.15872422,0.009878766,NA18149,CHD,1
-3.9190743,4.1934943,7.364808,-13.384712,5.4453835,31.314999,-2.4887733,-2.497395,-2.3988392,-2.045825,0.37910196,0.60708886,0.8019184,-1.7539042,0.22871529,0.082048915,0.004401437,0.24741328,-2.076138,0.7600601,-0.56392974,1.1519134,-1.682014,-1.2332942,-1.3049227,-1.7772644,1.2895784,-0.051720187,0.40830538,-0.94037837,-0.30231914,-1.6992397,-0.72149384,0.94731665,-0.06693567,1.2952294,-1.2218539,-1.0365207,1.6218634,-0.14712802,-0.16212884,-0.44866154,-0.7747414,0.05792551,-1.7555796,1.55391,-0.07371892,-0.98439217,2.9015396,1.8269465,NA17987,CHD,2
-3.6415758,3.5196996,6.4020324,-12.067531,5.273044,30.871733,-0.96292216,-3.4955213,-3.5183687,-2.3310754,-0.60011774,-0.40764114,1.6221255,0.27756533,0.60200316,-0.42224914,1.795789,0.019154893,1.2894797,1.2157254,-0.8022845,-1.1908818,0.30307838,-0.27866986,-0.081825815,1.0026035,-0.06127081,0.90148205,-0.8052781,-0.120759465,1.0166824,0.31617117,-0.25349855,0.39940906,-0.0528653,1.5050961,-0.06520243,-0.8339547,-0.82386816,-0.8958296,0.37619525,0.682606,-1.3344622,0.5593749,-0.3664971,1.0563171,2.2510703,1.3767854,1.5376517,1.813556,NA17988,CHD,2
-3.9944034,2.9012926,6.803534,-13.427899,5.721964,30.205183,-2.2426715,-2.5666938,-3.8208544,-1.7835954,0.18405657,-0.8453405,-0.2037318,-0.45005193,1.0658453,-0.029779848,0.59933555,-1.1723343,0.37478492,0.6710694,-0.06653256,0.5806316,1.1641707,0.28559187,-0.8302223,-0.24177651,0.3923298,-0.41577974,1.1360339,-0.53816074,0.46918944,0.1570517,2.0943966,-1.2951697,0.7531926,-0.7058663,0.2639133,-0.42255908,-1.2224213,-0.054050736,-2.9862695,-0.14760567,0.42625436,1.304413,1.382463,-0.253539,-0.4859057,-1.0963532,1.7562712,-0.52187675,NA17998,CHD,2
-4.538984,2.9449692,6.687634,-12.098535,5.1898403,30.831564,-1.6441425,-2.2517538,-3.299317,-2.1883311,0.4151904,-0.90895003,-0.50694954,-0.45887986,-0.4558292,0.05867434,0.4090928,0.50970036,0.6604356,-0.87390935,1.313444,0.6468641,0.6015364,0.7555669,-0.091855586,1.2797321,-0.4541374,-0.8697152,-0.589261,-1.2911252,1.8879,1.862285,0.17717053,0.7689301,-0.1937559,1.1729946,2.8287778,-0.0077705574,1.5419996,-1.9963868,-1.6907985,0.3981439,0.039350342,1.1024121,-0.03723637,0.45561263,0.18940404,-1.3421046,-0.54462165,-1.7979593,NA18107,CHD,2
-3.4221435,4.577023,7.844891,-13.232968,6.6477947,32.800392,-2.1849568,-2.8879037,-3.8266232,-2.1056714,0.24433893,0.6279727,-0.14289416,-0.62272036,1.7038827,0.7541,-1.0704945,-0.2046853,-0.15481912,0.90872854,-0.81935763,-1.1910279,-0.9049917,-1.2653406,0.2105232,1.797121,0.3191216,-1.206579,1.0758089,-0.1911578,-0.23845711,-1.8249923,-1.8033642,-0.5240937,-0.48911434,1.9497204,-1.5172135,1.136366,0.15773654,-2.6514819,-1.5704557,-1.4136245,0.2158009,2.070484,-0.79507184,-0.6559596,-1.9169388,0.20041211,-1.6401683,2.2499337,NA18108,CHD,2
-3.6500444,3.625161,6.9542956,-12.463799,5.28127,30.542793,-1.7512933,-2.1115801,-2.7247312,-2.4678786,0.39501357,0.08731622,0.062506676,0.4393678,0.14845279,0.9515044,0.6613659,0.26792976,-0.250346,0.50209194,-1.3303516,1.0561867,-0.41595772,0.22197859,0.65718013,0.6191949,-0.27285495,0.92770463,-0.021020869,-2.1722267,0.26229313,2.6128242,-0.9629273,1.1685044,-0.03239736,-2.448015,0.44903854,-0.8856214,0.6853264,0.6713233,-0.2863088,0.8825658,-0.7490194,-0.25113678,1.0167426,-1.0539093,-1.011153,-1.8194599,1.4915495,0.03563079,NA18128,CHD,2
-4.071486,4.6255045,6.293078,-11.92788,5.406971,31.171522,-1.3773364,-3.033122,-3.047208,-1.1926275,0.09296389,-0.16026196,0.30022198,1.3113186,0.3163311,1.737233,0.6282892,0.2661353,-0.79981977,0.07675912,-0.4784494,1.0581537,1.4382854,2.129216,0.22258377,1.7600303,0.48893028,-0.036806397,1.7522227,-1.9168848,0.12182017,-0.028078586,0.3049768,1.7209016,-1.5467885,-2.563656,1.7680557,1.3261282,-0.71127945,-0.84936255,-1.1783803,0.5945244,1.0917534,-1.4873879,-0.55705976,-1.2015047,0.63185525,-0.47029185,0.25265664,-0.29469365,NA18146,CHD,2
-3.463325,2.842314,6.3526525,-14.072706,5.886942,31.222609,-1.4070092,-2.7693827,-3.2454417,-0.40655383,-1.772475,0.97300076,-0.9715819,0.5455752,1.3137364,-1.8923999,1.288814,1.2435292,0.5823733,1.6074265,-1.163955,1.1502281,0.71248466,-0.08444254,1.5111915,0.43513498,-0.5438356,0.5852372,0.19594024,1.7127627,0.3695299,-0.31538674,1.5333673,-1.3098444,-0.40151018,-1.3776525,1.6210049,-1.159949,-0.020541772,1.866818,-1.5202738,2.2909873,0.24027829,-0.758732,-0.08888831,-0.12099959,0.48918933,-0.22360286,-0.9448467,-0.67841256,NA18148,CHD,2
-3.5054448,3.627243,6.951468,-12.238954,5.589477,30.384844,-2.1114275,-2.4617407,-2.9752789,-1.2651689,-0.3483591,-0.23032668,-0.16213322,0.14641893,-0.39108333,0.017897226,-1.2641916,1.6604058,-1.1756387,0.856159,0.41783512,-0.3196712,-0.855548,-0.19630143,-0.18420398,-1.4296201,0.53216994,0.77448696,-0.8867936,1.106823,-1.804333,-1.824912,0.13006768,1.1513915,-0.29940122,-1.7099249,0.025126755,-0.10128041,0.03619153,-0.039956387,-1.5688928,0.94107306,-1.9631985,-0.20739318,-1.2688581,1.5848551,-1.6861552,0.070335016,-0.16918352,0.7638855,NA18161,CHD,2
-3.8117435,3.5641387,7.4338803,-13.271829,6.1242075,31.447708,-2.2879305,-2.4448566,-2.2524965,-0.8565322,1.042469,-0.7893179,-0.4594263,0.4615254,-1.0986359,0.034671526,0.07234315,1.2635607,-0.14771771,0.3723787,-0.33290577,-0.07129179,1.2440712,0.53753597,-0.30019635,1.650795,-0.836576,-0.7371448,-1.6713431,-0.53509384,0.124986045,-0.11233891,1.7329475,0.86952734,0.40459362,-0.46737322,0.57081026,-0.14147027,-0.16081642,0.26294437,0.46127272,-2.1298413,-1.1614968,-2.879648,-0.5896922,0.44428244,0.8929084,-0.5458885,0.51850677,-0.17356138,NA18670,CHD,2
